"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://downkingo.com/docs/","3","On this page","12","🎯 About","8","Indexable",""
"https://downkingo.com/roadmap/","7","On this page","12","✅ Completed","11","Indexable",""
"https://downkingo.com/installation/","4","On this page","12","Download","8","Indexable",""
"https://downkingo.com/development/","6","On this page","12","Prerequisites","13","Indexable",""
"https://downkingo.com/features/","4","On this page","12","Core Features","13","Indexable",""
"https://downkingo.com/pt/twitter-downloader/","5","Vídeos em HD","12","GIFs Animados","13","Indexable",""
"https://downkingo.com/pt/kwai-downloader/","5","Sem Marca D'Água","16","Vídeos em HD","12","Indexable",""
"https://downkingo.com/pt/ferramentas/","14","YouTube Downloader","18","Instagram Downloader","20","Indexable",""
"https://downkingo.com/tools/","14","YouTube Downloader","18","Instagram Downloader","20","Indexable",""
"https://downkingo.com/en/twitter-downloader/","5","HD Videos","9","Animated GIFs","13","Indexable",""
"https://downkingo.com/en/kwai-downloader/","5","No Watermark","12","HD Videos","9","Indexable",""
"https://downkingo.com/pt/soundcloud-downloader/","5","MP3 320kbps","11","Playlists Completas","19","Indexable",""
"https://downkingo.com/en/soundcloud-downloader/","5","MP3 320kbps","11","Full Playlists","14","Indexable",""
"https://downkingo.com/pt/blog/melhores-downloaders-video-open-source/","8","yt-dlp (Linha de Comando)","25","DownKingo (Desktop GUI)","23","Indexable",""
"https://downkingo.com/en/blog/best-open-source-video-downloaders/","8","yt-dlp (Command-Line Interface)","31","DownKingo (Desktop GUI)","23","Indexable",""
"https://downkingo.com/pt/blog/guia-converter-formatos-video/","7","Containers vs. Codecs: A Distinção Fundamental","46","Remuxing vs. Re-encoding","24","Indexable",""
"https://downkingo.com/en/blog/convert-video-formats-guide/","7","Containers vs. Codecs: The Fundamental Distinction","50","Remuxing vs. Re-encoding","24","Indexable",""
